Date,Price
2018-05-31, 2469.0
2018-05-30, 2124.0
2018-05-29, 2010.0
2018-05-28, 2394.0
2018-05-27, 2491.0
2018-05-26, 2490.0
2018-06-30, 3052.0
2018-06-29, 2839.0
2018-06-28, 3049.0
2018-06-27, 2541.0
2018-06-26, 3558.0
2018-06-25, 2833.0
2018-06-24, 3564.0
2018-06-23, 2745.0
2018-06-22, 5098.0
2018-06-21, 4557.0
2018-06-20, 4556.0
2018-06-19, 3845.0
2018-06-18, 3933.0
2018-06-17, 2745.0
2018-06-16, 3055.0
2018-06-15, 3052.0
2018-06-14, 3052.0
2018-06-13, 3049.0
2018-06-12, 2011.0
2018-06-11, 2016.0
2018-06-10, 1998.0
2018-06-09, 3057.0
2018-06-08, 2536.0
2018-06-07, 2009.0
2018-06-06, 2010.0
2018-06-05, 1898.0
2018-06-04, 2010.0
2018-06-03, 2017.0
2018-06-02, 2011.0
2018-06-01, 2879.0
2018-07-31, 2990.0
2018-07-30, 2620.0
2018-07-29, 2034.0
2018-07-28, 2990.0
2018-07-27, 3049.0
2018-07-26, 2990.0
2018-07-25, 2541.0
2018-07-24, 2530.0
2018-07-23, 2533.0
2018-07-22, 2619.0
2018-07-21, 2537.0
2018-07-20, 2532.0
2018-07-19, 2529.0
2018-07-18, 2533.0
2018-07-17, 2096.0
2018-07-16, 2756.0
2018-07-15, 2096.0
2018-07-14, 2096.0
2018-07-13, 2734.0
2018-07-12, 2734.0
2018-07-11, 2310.0
2018-07-10, 3051.0
2018-07-09, 2734.0
2018-07-08, 3048.0
2018-07-07, 2756.0
2018-07-06, 3556.0
2018-07-05, 2990.0
2018-07-04, 3053.0
2018-07-03, 2756.0
2018-07-02, 2734.0
2018-07-01, 3560.0
2018-08-31, 3601.0
2018-08-30, 2541.0
2018-08-29, 3226.0
2018-08-28, 3058.0
2018-08-27, 3059.0
2018-08-26, 3226.0
2018-08-25, 3052.0
2018-08-24, 3048.0
2018-08-23, 3049.0
2018-08-22, 3226.0
2018-08-21, 2034.0
2018-08-20, 2620.0
2018-08-19, 2034.0
2018-08-18, 2035.0
2018-08-17, 3601.0
2018-08-16, 2620.0
2018-08-15, 2620.0
2018-08-14, 2990.0
2018-08-13, 2990.0
2018-08-12, 2990.0
2018-08-11, 2035.0
2018-08-10, 3048.0
2018-08-09, 2620.0
2018-08-08, 2620.0
2018-08-07, 2990.0
2018-08-06, 2620.0
2018-08-05, 2990.0
2018-08-04, 3050.0
2018-08-03, 3445.0
2018-08-02, 2990.0
2018-08-01, 2620.0
2018-09-30, 1990.0
2018-09-29, 1990.0
2018-09-28, 1990.0
2018-09-27, 1990.0
2018-09-26, 1962.0
2018-09-25, 1990.0
2018-09-24, 1990.0
