"Data","Price"
6.11.13,428.69
7.11.13,428.69
8.11.13,428.69
9.11.13,642.75
10.11.13,951.52
11.11.13,1097.53
12.11.13,1097.53
13.11.13,1524.85
14.11.13,1577.69
15.11.13,1585.75
16.11.13,126.53
17.11.13,272.10
18.11.13,345.03
19.11.13,398.32
20.11.13,398.32
21.11.13,398.32
22.11.13,398.32
23.11.13,398.32
24.11.13,401.75
25.11.13,401.75
26.11.13,401.75
27.11.13,405.69
28.11.13,405.69
29.11.13,405.69
30.11.13,405.69
1.12.13,421.32
2.12.13,424.75
3.12.13,463.32
4.12.13,126.53
5.12.13,345.03
6.12.13,398.32
7.12.13,398.32
8.12.13,398.32
9.12.13,398.32
10.12.13,398.32
11.12.13,398.32
12.12.13,398.32
13.12.13,401.75
14.12.13,401.75
15.12.13,416.01
16.12.13,421.32
17.12.13,424.75
18.12.13,463.32
19.12.13,566.75
20.12.13,151.53
21.12.13,220.10
22.12.13,345.03
23.12.13,398.32
24.12.13,398.32
25.12.13,398.32
26.12.13,398.32
27.12.13,398.32
28.12.13,398.32
29.12.13,398.32
30.12.13,401.75
31.12.13,401.75
1.1.14,405.69
2.1.14,405.69
3.1.14,416.01
4.1.14,416.01
5.1.14,421.32
6.1.14,428.69
7.1.14,463.32
8.1.14,566.75
9.1.14,566.75
10.1.14,589.75
11.1.14,951.52
12.1.14,1115.20
13.1.14,1151.32
14.1.14,1151.32
15.1.14,1151.32
16.1.14,1151.32
17.1.14,126.53
18.1.14,398.32
19.1.14,398.32
20.1.14,398.32
21.1.14,398.32
22.1.14,398.32
23.1.14,398.32
24.1.14,398.32
25.1.14,401.75
26.1.14,401.75
27.1.14,401.75
28.1.14,421.32
29.1.14,463.32
30.1.14,566.75
31.1.14,566.75
1.2.14,589.75
2.2.14,677.03
3.2.14,1110.53
4.2.14,206.53
5.2.14,340.10
6.2.14,401.75
7.2.14,401.75
8.2.14,401.75
9.2.14,405.69
10.2.14,416.01
11.2.14,463.32
12.2.14,463.32
13.2.14,463.32
14.2.14,463.32
15.2.14,463.32
16.2.14,563.32
17.2.14,971.52
18.2.14,1115.32
19.2.14,1115.32
20.2.14,1115.32
21.2.14,206.53
22.2.14,398.32
23.2.14,398.32
24.2.14,398.32
25.2.14,405.69
26.2.14,421.32
27.2.14,428.69
28.2.14,463.32
1.3.14,463.32
2.3.14,530.10
3.3.14,563.32
4.3.14,563.32
5.3.14,563.32
6.3.14,566.75
7.3.14,566.75
8.3.14,566.75
9.3.14,566.75
10.3.14,586.32
11.3.14,589.75
12.3.14,773.32
13.3.14,1123.03
14.3.14,206.53
15.3.14,345.03
16.3.14,398.32
17.3.14,398.32
18.3.14,398.32
19.3.14,398.32
20.3.14,405.69
21.3.14,405.69
22.3.14,416.01
23.3.14,416.01
24.3.14,428.69
25.3.14,463.32
26.3.14,463.32
27.3.14,466.75
28.3.14,486.32
29.3.14,570.69
30.3.14,965.45
31.3.14,1115.32
1.4.14,1115.32
2.4.14,1115.32
3.4.14,1115.32
4.4.14,1115.32
5.4.14,1133.01
6.4.14,126.53
7.4.14,220.10
8.4.14,345.03
9.4.14,398.32
10.4.14,401.75
11.4.14,401.75
12.4.14,405.69
13.4.14,421.32
14.4.14,424.75
15.4.14,463.32
16.4.14,463.32
17.4.14,463.32
18.4.14,951.52
19.4.14,1072.91
20.4.14,1115.32
21.4.14,1115.32
22.4.14,151.53
23.4.14,398.32
24.4.14,398.32
25.4.14,398.32
26.4.14,398.32
27.4.14,401.75
28.4.14,401.75
29.4.14,421.32
30.4.14,573.03
1.5.14,574.35
2.5.14,951.52
3.5.14,971.45
4.5.14,1072.91
5.5.14,1072.91
6.5.14,1115.32
7.5.14,1115.32
8.5.14,1115.32
9.5.14,1115.32
10.5.14,151.53
11.5.14,220.10
12.5.14,345.03
13.5.14,346.35
14.5.14,398.32
15.5.14,398.32
16.5.14,398.32
17.5.14,398.32
18.5.14,398.32
19.5.14,398.32
20.5.14,398.32
21.5.14,401.75
22.5.14,401.75
23.5.14,401.75
24.5.14,401.75
25.5.14,416.01
26.5.14,416.01
27.5.14,424.75
28.5.14,428.69
29.5.14,463.32
30.5.14,951.52
31.5.14,1115.32
1.6.14,1115.32
2.6.14,1115.32
3.6.14,1115.32
4.6.14,1133.01
5.6.14,151.53
6.6.14,398.32
7.6.14,398.32
8.6.14,398.32
9.6.14,398.32
10.6.14,398.32
11.6.14,401.75
12.6.14,421.32
13.6.14,463.32
14.6.14,573.03
15.6.14,796.32
16.6.14,951.52
17.6.14,1072.91
18.6.14,1115.32
19.6.14,1115.32
20.6.14,1115.32
21.6.14,151.53
22.6.14,398.32
23.6.14,398.32
24.6.14,398.32
25.6.14,398.32
26.6.14,398.32
27.6.14,401.75
28.6.14,401.75
29.6.14,401.75
30.6.14,416.01
1.7.14,416.01
2.7.14,421.32
3.7.14,424.75
4.7.14,463.32
5.7.14,463.32
6.7.14,653.69
7.7.14,951.52
8.7.14,1115.32
9.7.14,1115.32
10.7.14,1115.32
11.7.14,1115.32
12.7.14,151.53
13.7.14,398.32
14.7.14,398.32
15.7.14,398.32
16.7.14,398.32
17.7.14,398.32
18.7.14,401.75
19.7.14,405.69
20.7.14,405.69
21.7.14,405.69
22.7.14,428.69
23.7.14,463.32
24.7.14,463.32
25.7.14,486.32
26.7.14,595.10
27.7.14,622.03
28.7.14,677.03
29.7.14,1123.03
30.7.14,102.53
31.7.14,398.32
1.8.14,398.32
2.8.14,398.32
3.8.14,401.75
4.8.14,401.75
5.8.14,405.69
6.8.14,416.01
7.8.14,416.01
8.8.14,424.75
9.8.14,463.32
10.8.14,463.32
11.8.14,463.32
12.8.14,486.32
13.8.14,971.45
14.8.14,1068.17
15.8.14,1115.32
16.8.14,1115.32
17.8.14,1115.32
18.8.14,1115.32
19.8.14,1115.32
20.8.14,1133.01
21.8.14,1257.86
22.8.14,1341.79
23.8.14,1352.01
24.8.14,1508.75
25.8.14,1508.75
26.8.14,1539.69
27.8.14,151.53
28.8.14,304.10
29.8.14,402.31
30.8.14,405.80
31.8.14,463.32
1.9.14,563.32
2.9.14,563.32
3.9.14,563.32
4.9.14,563.32
5.9.14,567.31
6.9.14,567.31
7.9.14,567.31
8.9.14,567.31
9.9.14,570.80
10.9.14,570.80
11.9.14,590.31
12.9.14,593.80
13.9.14,951.21
14.9.14,972.01
15.9.14,1072.91
16.9.14,178.53
17.9.14,481.01
18.9.14,563.32
19.9.14,563.32
20.9.14,563.32
21.9.14,563.32
22.9.14,563.32
23.9.14,567.31
24.9.14,590.31
25.9.14,646.32
26.9.14,126.53
27.9.14,398.32
28.9.14,398.32
29.9.14,398.32
30.9.14,398.32
1.10.14,402.31
2.10.14,402.31
3.10.14,402.31
4.10.14,416.01
5.10.14,421.32
6.10.14,463.32
7.10.14,567.31
8.10.14,570.80
9.10.14,623.32
10.10.14,627.31
11.10.14,653.80
12.10.14,669.10
13.10.14,951.21
14.10.14,972.01
15.10.14,1115.32
16.10.14,1115.32
17.10.14,151.53
18.10.14,398.33
19.10.14,402.31
20.10.14,463.33
21.10.14,486.33
22.10.14,563.33
23.10.14,563.33
24.10.14,951.21
25.10.14,966.04
26.10.14,1072.91
27.10.14,1111.11
28.10.14,1115.33
29.10.14,1123.03
30.10.14,151.53
31.10.14,402.31
1.11.14,402.31
2.11.14,463.33
3.11.14,463.33
4.11.14,463.33
5.11.14,463.33
6.11.14,481.04
7.11.14,486.10
8.11.14,563.33
9.11.14,563.33
10.11.14,567.31
11.11.14,951.21
12.11.14,966.04
13.11.14,971.21
14.11.14,206.53
15.11.14,402.31
16.11.14,405.80
17.11.14,530.10
18.11.14,563.33
19.11.14,563.33
20.11.14,563.33
21.11.14,563.33
22.11.14,951.21
23.11.14,972.04
24.11.14,981.21
25.11.14,235.53
