"Date","Price"
8.1.19, 6020.0
9.1.19, 5592.0
10.1.19, 5592.0
11.1.19, 5142.0
12.1.19, 5142.0
13.1.19, 5142.0
14.1.19, 5142.0
15.1.19, 5142.0
16.1.19, 5142.0
17.1.19, 5022.0
18.1.19, 5022.0
19.1.19, 5022.0
20.1.19, 5022.0
21.1.19, 5022.0
22.1.19, 5022.0
23.1.19, 5022.0
24.1.19, 5022.0
25.1.19, 5022.0
26.1.19, 5022.0
27.1.19, 5022.0
28.1.19, 5022.0
29.1.19, 5022.0
30.1.19, 5022.0
31.1.19, 5022.0
1.2.19, 5022.0
2.2.19, 5022.0
3.2.19, 5022.0
4.2.19, 5022.0
5.2.19, 5022.0
6.2.19, 5022.0
7.2.19, 5022.0
8.2.19, 5022.0
9.2.19, 5022.0
10.2.19, 5022.0
11.2.19, 5022.0
12.2.19, 5022.0
13.2.19, 5022.0
14.2.19, 5022.0
15.2.19, 5022.0
16.2.19, 5022.0
17.2.19, 5022.0
18.2.19, 5022.0
19.2.19, 5022.0
20.2.19, 5022.0
21.2.19, 5022.0
22.2.19, 5022.0
23.2.19, 5022.0
24.2.19, 5022.0
25.2.19, 5022.0
26.2.19, 5142.0
27.2.19, 5142.0
28.2.19, 5142.0
1.3.19, 5142.0
2.3.19, 5142.0
3.3.19, 5142.0
4.3.19, 5142.0
5.3.19, 5142.0
6.3.19, 5142.0
7.3.19, 5142.0
8.3.19, 5142.0
9.3.19, 5142.0
10.3.19, 5142.0
11.3.19, 5142.0
12.3.19, 5142.0
13.3.19, 5142.0
14.3.19, 5142.0
15.3.19, 5142.0
16.3.19, 5142.0
17.3.19, 19395.0
18.3.19, 12795.0
19.3.19, 20854.0
20.3.19, 17062.0
21.3.19, 20854.0
22.3.19, 12795.0
23.3.19, 5142.0
24.3.19, 5142.0
25.3.19, 5142.0
26.3.19, 5142.0
27.3.19, 5142.0
28.3.19, 5142.0
29.3.19, 16570.0
3.4.19, 30291.0
4.4.19, 31407.0
5.4.19, 29101.0
6.4.19, 29101.0
7.4.19, 30291.0
8.4.19, 32523.0
9.4.19, 33096.0
10.4.19, 30291.0
11.4.19, 31407.0
12.4.19, 29101.0
13.4.19, 29101.0
14.4.19, 30291.0
15.4.19, 32523.0
16.4.19, 33096.0
17.4.19, 30291.0
18.4.19, 31407.0
19.4.19, 29691.0
20.4.19, 29691.0
21.4.19, 30291.0
22.4.19, 32523.0
