tbl,Year,quarter,$mkt_fare,citymarketid_1,citymarketid_2,city1,city2,carairlineid,car,carpax,carpaxshare,$caravgfare,fareinc_min,fareinc_minpaxsh,fareinc_max,fare_inc_maxpaxsh,fare_inc_x3paxsh,Geocoded_City1,Geocoded_City2,tbl5pk
Table 5,"2,004",2,228.84,"31,066","31,703","Columbus, OH","New York City, NY (Metropolitan Area)","19,704",CO,"36,360",0.4400,240.84,125,0.0700,375,0.0500,0.1900,"Columbus, OH(39.962649, -82.996216)","New York City, NY (Metropolitan Area)(40.123164, -75.333718)",20042310663170319704CO
Table 5,"2,013",4,267.66,"30,977","35,096","Chicago, IL","Syracuse, NY","19,977",UA,"6,770",0.4000,287.66,175,0.0500,500,0.0700,0.0400,"Chicago, IL(41.775002, -87.696388)","Syracuse, NY(43.047945, -76.147448)",20134309773509619977UA
Table 5,"2,006",1,87.93,"30,713","34,057","Boise, ID","Portland, OR","19,393",WN,"30,070",0.5400,82.39,75,0.4900,125,0.2700,0.00033255736614566,"Boise, ID(43.597772, -83.884521)","Portland, OR(45.516018, -122.681425)",20061307133405719393WN
Table 5,"2,005",4,221.69,"31,066","31,650","Columbus, OH","Minneapolis/St. Paul, MN","19,386",NW,"19,200",0.6900,235.98,125,0.2100,575,0.0600,0.1800,"Columbus, OH(39.962649, -82.996216)","Minneapolis/St. Paul, MN(44.977479, -93.264346)",20054310663165019386NW
Table 5,"2,001",1,291.48,"30,977","32,070","Chicago, IL","Harrisburg, PA","19,977",UA,"7,400",0.5500,303.64,100,0.0800,650,0.0600,0.4300,"Chicago, IL(41.775002, -87.696388)","Harrisburg, PA(40.259572, -76.881821)",20011309773207019977UA
Table 5,"1,996",3,231.23,"30,599","30,194","Birmingham, AL","Dallas/Fort Worth, TX","19,805",AA,"9,230",0.5900,231.94,125,0.2400,400,0.1300,0.1600,"Birmingham, AL(33.522859, -86.807705)","Dallas/Fort Worth, TX(40.11086, -77.035636)",19963305993019419805AA
Table 5,"2,005",4,94.36,"32,211","30,466","Las Vegas, NV","Phoenix, AZ","19,991",HP,"49,720",0.2100,111.08,75,0.2600,125,0.3100,0.0700,"Las Vegas, NV(36.169202, -115.140597)","Phoenix, AZ(30.406931, -87.217578)",20054322113046619991HP
Table 5,"2,014",2,302.75,"33,044","31,703","Louisville, KY","New York City, NY (Metropolitan Area)","19,977",UA,"10,870",0.2200,329.72,200,0.1100,575,0.0700,0.0300,"Louisville, KY(38.256078, -85.751569)","New York City, NY (Metropolitan Area)(40.123164, -75.333718)",20142330443170319977UA
Table 5,"1,999",3,276.07,"30,397","33,105","Atlanta, GA (Metropolitan Area)","Cincinnati, OH","19,790",DL,"34,260",0.9600,278.29,125,0.2000,475,0.1800,0.3400,"Atlanta, GA (Metropolitan Area)(33.748547, -84.391502)","Cincinnati, OH(39.104427, -84.513808)",19993303973310519790DL
Table 5,"1,996",1,82.14,"31,140","31,453","Corpus Christi, TX","Houston, TX","19,393",WN,"22,300",0.6700,80.02,100,1.0000,100,1.0000,0.0000,"Corpus Christi, TX(27.796416, -97.404131)","Houston, TX(29.760803, -95.369506)",19961311403145319393WN
Table 5,"2,006",1,223.71,"31,057","30,693","Charlotte, NC","Nashville, TN","20,355",US,"16,400",0.8600,228.24,100,0.0600,325,0.3100,0.3600,"Charlotte, NC(35.222936, -80.840161)","Nashville, TN(36.166687, -86.779932)",20061310573069320355US
Table 5,"1,998",1,68.01,"30,140","30,466","Albuquerque, NM","Phoenix, AZ","19,991",HP,"14,940",0.1200,80.21,75,0.3500,125,0.0500,0.00937081659973226,"Albuquerque, NM(35.084248, -106.649241)","Phoenix, AZ(30.406931, -87.217578)",19981301403046619991HP
Table 5,"2,011",2,314.47,"33,105","34,100","Cincinnati, OH","Philadelphia, PA","19,790",DL,"9,880",0.4100,307.45,125,0.0600,475,0.0600,0.3300,"Cincinnati, OH(39.104427, -84.513808)","Philadelphia, PA(39.951061, -75.16562)",20112331053410019790DL
Table 5,"2,005",3,88.95,"30,279","30,194","Amarillo, TX","Dallas/Fort Worth, TX","19,393",WN,"36,190",0.7800,84.74,75,0.3500,125,0.4100,0.00138159712627798,"Amarillo, TX(35.207009, -101.832013)","Dallas/Fort Worth, TX(40.11086, -77.035636)",20053302793019419393WN
Table 5,"2,002",3,262.81,"33,105","34,100","Cincinnati, OH","Philadelphia, PA","20,355",US,"8,990",0.3500,260.68,75,0.0700,550,0.0800,0.4800,"Cincinnati, OH(39.104427, -84.513808)","Philadelphia, PA(39.951061, -75.16562)",20023331053410020355US
Table 5,"2,000",2,268.56,"31,057","30,693","Charlotte, NC","Nashville, TN","20,355",US,"17,530",0.9100,271.43,125,0.1600,400,0.3500,0.3900,"Charlotte, NC(35.222936, -80.840161)","Nashville, TN(36.166687, -86.779932)",20002310573069320355US
Table 5,"2,000",4,266.44,"33,105","31,650","Cincinnati, OH","Minneapolis/St. Paul, MN","19,386",NW,"16,550",0.5100,245.08,100,0.0800,575,0.1000,0.3400,"Cincinnati, OH(39.104427, -84.513808)","Minneapolis/St. Paul, MN(44.977479, -93.264346)",20004331053165019386NW
Table 5,"2,000",3,302.41,"30,325","34,653","Denver, CO","Tulsa, OK","19,805",AA,"3,750",0.2400,261.08,125,0.0600,325,0.0600,0.1600,"Denver, CO(39.738453, -104.984853)","Tulsa, OK(61.096484, -160.967455)",20003303253465319805AA
Table 5,"2,008",3,226.13,"31,066","31,703","Columbus, OH","New York City, NY (Metropolitan Area)","19,805",AA,"15,310",0.1700,209.74,100,0.1800,350,0.0500,0.1700,"Columbus, OH(39.962649, -82.996216)","New York City, NY (Metropolitan Area)(40.123164, -75.333718)",20083310663170319805AA
Table 5,"2,012",1,309.23,"30,647","31,650","Cleveland, OH (Metropolitan Area)","Minneapolis/St. Paul, MN","19,393",WN,"2,510",0.1100,244.06,225,0.2500,375,0.0900,0.0000,"Cleveland, OH (Metropolitan Area)(41.505546, -81.6915)","Minneapolis/St. Paul, MN(44.977479, -93.264346)",20121306473165019393WN
Table 5,"2,006",2,263.10,"30,194","33,244","Dallas/Fort Worth, TX","Memphis, TN","19,386",NW,"6,960",0.2600,237.53,75,0.0700,325,0.0500,0.3500,"Dallas/Fort Worth, TX(40.11086, -77.035636)","Memphis, TN(35.143378, -90.052136)",20062301943324419386NW
Table 5,"1,999",1,74.68,"34,057","34,570","Portland, OR","Reno, NV","19,994",QQ,"13,390",0.3300,78.90,75,0.5600,150,0.0700,0.000746825989544436,"Portland, OR(45.516018, -122.681425)","Reno, NV(30.177159, -95.162771)",19991340573457019994QQ
Table 5,"1,999",4,255.20,"30,397","32,448","Atlanta, GA (Metropolitan Area)","Jackson/Vicksburg, MS","19,790",DL,"17,350",0.9700,255.20,125,0.1900,450,0.2000,0.3100,"Atlanta, GA (Metropolitan Area)(33.748547, -84.391502)","Jackson/Vicksburg, MS(30.325968, -81.65676)",19994303973244819790DL
