tbl,Year,quarter,$mkt_fare,citymarketid_1,citymarketid_2,city1,city2,carairlineid,car,carpax,carpaxshare,$caravgfare,fareinc_min,fareinc_minpaxsh,fareinc_max,fare_inc_maxpaxsh,fare_inc_x3paxsh,Geocoded_City1,Geocoded_City2,tbl5pk
Table 5,"2,006",3,87.41,"34,057","31,884","Portland, OR","Spokane, WA","19,393",WN,"34,330",0.5900,80.44,75,0.4400,125,0.2500,0.0000,"Portland, OR(45.516018, -122.681425)","Spokane, WA(47.658999, -117.425022)",20063340573188419393WN
Table 5,"1,997",4,224.47,"30,721","30,198","Boston, MA (Metropolitan Area)","Pittsburgh, PA","20,355",US,"68,280",0.9200,226.21,75,0.0700,400,0.2500,0.4200,"Boston, MA (Metropolitan Area)(42.358894, -71.056742)","Pittsburgh, PA(40.442169, -79.994945)",19974307213019820355US
Table 5,"2,003",1,234.32,"31,995","30,852","Greensboro/High Point, NC","Washington, DC (Metropolitan Area)","20,355",US,"11,770",0.9800,234.92,100,0.1500,375,0.1100,0.3200,"Greensboro/High Point, NC(36.072701, -79.793899)","Washington, DC (Metropolitan Area)(38.892062, -77.019912)",20031319953085220355US
Table 5,"1,998",3,71.25,"32,467","33,195","Miami, FL (Metropolitan Area)","Tampa, FL (Metropolitan Area)","19,393",WN,"75,060",0.6400,65.54,75,0.9900,75,0.9900,0.0000,"Miami, FL (Metropolitan Area)(44.977479, -93.264346)","Tampa, FL (Metropolitan Area)(37.8606, -78.804199)",19983324673319519393WN
Table 5,"1,999",3,235.25,"30,713","30,325","Boise, ID","Denver, CO","19,977",UA,"13,710",0.7800,239.90,125,0.0900,550,0.0600,0.1800,"Boise, ID(43.597772, -83.884521)","Denver, CO(39.738453, -104.984853)",19993307133032519977UA
Table 5,"2,006",3,235.98,"30,977","31,995","Chicago, IL","Greensboro/High Point, NC","19,977",UA,"12,170",0.7700,239.12,100,0.0500,350,0.0800,0.2700,"Chicago, IL(41.775002, -87.696388)","Greensboro/High Point, NC(36.072701, -79.793899)",20063309773199519977UA
Table 5,"2,003",1,279.13,"30,529","34,100","Hartford, CT","Philadelphia, PA","20,355",US,"11,690",0.9600,277.36,150,0.0500,425,0.0800,0.0100,"Hartford, CT(41.765775, -72.673356)","Philadelphia, PA(39.951061, -75.16562)",20031305293410020355US
Table 5,"2,002",3,243.17,"33,105","31,703","Cincinnati, OH","New York City, NY (Metropolitan Area)","19,704",CO,"12,390",0.1400,256.33,75,0.0900,300,0.0600,0.4700,"Cincinnati, OH(39.104427, -84.513808)","New York City, NY (Metropolitan Area)(40.123164, -75.333718)",20023331053170319704CO
Table 5,"1,997",1,236.50,"32,337","31,703","Indianapolis, IN","New York City, NY (Metropolitan Area)","20,355",US,"24,070",0.4100,242.76,125,0.1900,425,0.2100,0.3100,"Indianapolis, IN(39.76845, -86.156212)","New York City, NY (Metropolitan Area)(40.123164, -75.333718)",19971323373170320355US
Table 5,"1,996",3,73.28,"30,194","33,158","Dallas/Fort Worth, TX","Midland/Odessa, TX","19,805",AA,"6,090",0.1500,82.96,75,0.5000,150,0.0700,0.00164203612479475,"Dallas/Fort Worth, TX(40.11086, -77.035636)","Midland/Odessa, TX(31.997433, -102.078043)",19963301943315819805AA
Table 5,"1,998",3,253.94,"30,397","33,105","Atlanta, GA (Metropolitan Area)","Cincinnati, OH","19,790",DL,"34,720",0.9700,255.00,100,0.2600,425,0.2000,0.4600,"Atlanta, GA (Metropolitan Area)(33.748547, -84.391502)","Cincinnati, OH(39.104427, -84.513808)",19983303973310519790DL
Table 5,"2,013",2,264.17,"30,977","32,070","Chicago, IL","Harrisburg, PA","19,977",UA,"8,910",0.5500,264.46,225,0.2700,375,0.0700,0.00112233445566779,"Chicago, IL(41.775002, -87.696388)","Harrisburg, PA(40.259572, -76.881821)",20132309773207019977UA
Table 5,"2,010",2,247.10,"32,337","31,650","Indianapolis, IN","Minneapolis/St. Paul, MN","19,790",DL,"21,650",0.7300,266.25,175,0.1300,325,0.0500,0.0200,"Indianapolis, IN(39.76845, -86.156212)","Minneapolis/St. Paul, MN(44.977479, -93.264346)",20102323373165019790DL
Table 5,"2,005",4,255.33,"31,295","32,337","Detroit, MI","Indianapolis, IN","19,386",NW,"15,040",0.8000,281.28,100,0.1700,450,0.2500,0.5000,"Detroit, MI(42.332916, -83.047853)","Indianapolis, IN(39.76845, -86.156212)",20054312953233719386NW
Table 5,"2,010",1,268.79,"30,255","30,852","Huntsville, AL","Washington, DC (Metropolitan Area)","19,977",UA,"4,220",0.1300,317.55,150,0.0600,450,0.1100,0.2200,"Huntsville, AL(34.729538, -86.585283)","Washington, DC (Metropolitan Area)(38.892062, -77.019912)",20101302553085219977UA
Table 5,"1,996",1,263.93,"30,977","34,576","Chicago, IL","Rochester, NY","19,977",UA,"11,700",0.5000,252.89,75,0.1100,425,0.1100,0.5200,"Chicago, IL(41.775002, -87.696388)","Rochester, NY(43.155708, -77.612547)",19961309773457619977UA
Table 5,"2,010",2,226.22,"35,096","30,852","Syracuse, NY","Washington, DC (Metropolitan Area)","19,977",UA,"3,580",0.1600,281.51,75,0.0500,400,0.0500,0.6600,"Syracuse, NY(43.047945, -76.147448)","Washington, DC (Metropolitan Area)(38.892062, -77.019912)",20102350963085219977UA
Table 5,"2,004",2,98.31,"30,792","31,703","Buffalo, NY","New York City, NY (Metropolitan Area)","19,704",CO,"22,320",0.1200,154.97,100,0.1900,200,0.1100,0.0300,"Buffalo, NY(39.945422, -78.64671)","New York City, NY (Metropolitan Area)(40.123164, -75.333718)",20042307923170319704CO
Table 5,"2,008",2,404.73,"30,397","33,105","Atlanta, GA (Metropolitan Area)","Cincinnati, OH","19,790",DL,"15,500",0.9300,416.87,150,0.0700,650,0.0500,0.3600,"Atlanta, GA (Metropolitan Area)(33.748547, -84.391502)","Cincinnati, OH(39.104427, -84.513808)",20082303973310519790DL
Table 5,"2,005",4,91.89,"30,466","33,570","Phoenix, AZ","San Diego, CA","19,991",HP,"43,580",0.2600,95.80,75,0.3400,125,0.3000,0.0200,"Phoenix, AZ(30.406931, -87.217578)","San Diego, CA(32.71576, -117.163817)",20054304663357019991HP
Table 5,"2,008",2,239.95,"30,977","31,995","Chicago, IL","Greensboro/High Point, NC","19,977",UA,"13,150",0.7400,252.92,100,0.0600,325,0.1000,0.2600,"Chicago, IL(41.775002, -87.696388)","Greensboro/High Point, NC(36.072701, -79.793899)",20082309773199519977UA
Table 5,"2,014",2,329.25,"30,977","33,105","Chicago, IL","Cincinnati, OH","19,977",UA,"10,550",0.3400,312.37,150,0.0600,500,0.1200,0.2300,"Chicago, IL(41.775002, -87.696388)","Cincinnati, OH(39.104427, -84.513808)",20142309773310519977UA
Table 5,"2,001",3,255.54,"30,325","34,653","Denver, CO","Tulsa, OK","19,977",UA,"10,950",0.7100,277.47,100,0.0500,600,0.1000,0.3000,"Denver, CO(39.738453, -104.984853)","Tulsa, OK(61.096484, -160.967455)",20013303253465319977UA
Table 5,"1,996",1,65.29,"33,198","31,123","Kansas City, MO","St. Louis, MO","19,393",WN,"24,390",0.4100,58.04,75,0.9900,75,0.9900,0.000410004100041,"Kansas City, MO(39.099792, -94.578559)","St. Louis, MO(38.630276, -90.200309)",19961331983112319393WN
Table 5,"2,014",2,274.90,"35,412","31,703","Knoxville, TN","New York City, NY (Metropolitan Area)","19,805",AA,"2,870",0.1200,265.18,175,0.2300,375,0.0500,0.0800,"Knoxville, TN(35.962631, -83.916677)","New York City, NY (Metropolitan Area)(40.123164, -75.333718)",20142354123170319805AA
Table 5,"2,002",4,237.62,"31,057","31,295","Charlotte, NC","Detroit, MI","19,386",NW,"12,510",0.5200,261.00,100,0.0900,525,0.0500,0.3500,"Charlotte, NC(35.222936, -80.840161)","Detroit, MI(42.332916, -83.047853)",20024310573129519386NW
Table 5,"2,004",4,252.51,"30,198","30,852","Pittsburgh, PA","Washington, DC (Metropolitan Area)","19,977",UA,"6,540",0.2500,128.39,75,0.3300,150,0.0900,0.1300,"Pittsburgh, PA(40.442169, -79.994945)","Washington, DC (Metropolitan Area)(38.892062, -77.019912)",20044301983085219977UA
Table 5,"1,996",2,69.59,"32,211","30,436","Las Vegas, NV","Tucson, AZ","19,991",HP,"5,200",0.2100,89.35,75,0.5800,150,0.0500,0.00769230769230769,"Las Vegas, NV(36.169202, -115.140597)","Tucson, AZ(35.167852, -103.726151)",19962322113043619991HP
Table 5,"2,014",3,274.60,"30,397","31,057","Atlanta, GA (Metropolitan Area)","Charlotte, NC","20,355",US,"5,620",0.2100,239.37,75,0.1900,500,0.0800,0.4600,"Atlanta, GA (Metropolitan Area)(33.748547, -84.391502)","Charlotte, NC(35.222936, -80.840161)",20143303973105720355US
Table 5,"1,996",2,83.44,"30,599","33,495","Birmingham, AL","New Orleans, LA","19,393",WN,"16,940",0.9500,81.08,100,1.0000,100,1.0000,0.0000,"Birmingham, AL(33.522859, -86.807705)","New Orleans, LA(29.950621, -90.074948)",19962305993349519393WN
Table 5,"2,012",4,117.06,"30,325","34,614","Denver, CO","Salt Lake City, UT","20,436",F9,"35,850",0.2900,101.93,75,0.2400,150,0.1500,0.0100,"Denver, CO(39.738453, -104.984853)","Salt Lake City, UT(40.758478, -111.888142)",20124303253461420436F9
Table 5,"2,000",1,254.72,"33,044","31,703","Louisville, KY","New York City, NY (Metropolitan Area)","19,790",DL,"4,910",0.1500,245.36,75,0.1400,500,0.0500,0.4500,"Louisville, KY(38.256078, -85.751569)","New York City, NY (Metropolitan Area)(40.123164, -75.333718)",20001330443170319790DL
Table 5,"1,996",4,79.10,"30,647","31,123","Cleveland, OH (Metropolitan Area)","St. Louis, MO","19,393",WN,"20,830",0.4400,62.58,75,0.6900,100,0.3000,0.0000,"Cleveland, OH (Metropolitan Area)(41.505546, -81.6915)","St. Louis, MO(38.630276, -90.200309)",19964306473112319393WN
Table 5,"1,996",4,76.33,"30,194","33,214","Dallas/Fort Worth, TX","San Antonio, TX","19,393",WN,"80,700",0.6800,71.99,75,1.0000,75,1.0000,0.0000,"Dallas/Fort Worth, TX(40.11086, -77.035636)","San Antonio, TX(29.425173, -98.494599)",19964301943321419393WN
Table 5,"1,996",1,81.80,"30,977","31,123","Chicago, IL","St. Louis, MO","20,211",TW,"53,580",0.3800,84.09,75,0.6700,125,0.0800,0.0100,"Chicago, IL(41.775002, -87.696388)","St. Louis, MO(38.630276, -90.200309)",19961309773112320211TW
Table 5,"2,004",3,88.77,"30,140","30,466","Albuquerque, NM","Phoenix, AZ","19,393",WN,"58,440",0.8000,88.48,75,0.2800,125,0.4800,0.00102669404517454,"Albuquerque, NM(35.084248, -106.649241)","Phoenix, AZ(30.406931, -87.217578)",20043301403046619393WN
Table 5,"2,010",3,229.00,"30,194","33,316","Dallas/Fort Worth, TX","Omaha, NE","19,805",AA,"23,680",0.8300,232.34,150,0.0700,350,0.0600,0.0200,"Dallas/Fort Worth, TX(40.11086, -77.035636)","Omaha, NE(46.07035, -93.666319)",20103301943331619805AA
Table 5,"2,007",2,250.32,"31,066","31,650","Columbus, OH","Minneapolis/St. Paul, MN","19,805",AA,"3,580",0.1200,175.34,125,0.2000,225,0.0600,0.0500,"Columbus, OH(39.962649, -82.996216)","Minneapolis/St. Paul, MN(44.977479, -93.264346)",20072310663165019805AA
Table 5,"2,015",2,295.25,"30,255","30,852","Huntsville, AL","Washington, DC (Metropolitan Area)","19,790",DL,"4,430",0.1400,283.74,175,0.0900,375,0.0800,0.0400,"Huntsville, AL(34.729538, -86.585283)","Washington, DC (Metropolitan Area)(38.892062, -77.019912)",20152302553085219790DL
Table 5,"1,997",2,71.07,"30,559","31,884","Seattle, WA","Spokane, WA","19,393",WN,"17,480",0.2100,65.50,75,1.0000,75,1.0000,0.0000,"Seattle, WA(47.603229, -122.33028)","Spokane, WA(47.658999, -117.425022)",19972305593188419393WN
Table 5,"2,015",2,385.61,"31,295","34,100","Detroit, MI","Philadelphia, PA","19,790",DL,"11,220",0.2700,369.52,100,0.0500,700,0.0600,0.5100,"Detroit, MI(42.332916, -83.047853)","Philadelphia, PA(39.951061, -75.16562)",20152312953410019790DL
Table 5,"2,007",3,98.82,"31,703","34,576","New York City, NY (Metropolitan Area)","Rochester, NY","20,355",US,"12,470",0.1400,114.12,75,0.2700,150,0.1200,0.0500,"New York City, NY (Metropolitan Area)(40.123164, -75.333718)","Rochester, NY(43.155708, -77.612547)",20073317033457620355US
Table 5,"1,997",4,71.46,"33,198","30,693","Kansas City, MO","Nashville, TN","19,393",WN,"27,700",0.8800,63.96,75,0.6200,100,0.3700,0.0000,"Kansas City, MO(39.099792, -94.578559)","Nashville, TN(36.166687, -86.779932)",19974331983069319393WN
Table 5,"2,006",3,331.05,"30,397","33,044","Atlanta, GA (Metropolitan Area)","Louisville, KY","19,790",DL,"13,730",0.8900,340.62,175,0.1900,725,0.0500,0.1600,"Atlanta, GA (Metropolitan Area)(33.748547, -84.391502)","Louisville, KY(38.256078, -85.751569)",20063303973304419790DL
Table 5,"1,997",4,78.42,"30,423","31,453","Austin, TX","Houston, TX","19,393",WN,"67,880",0.8100,75.42,75,0.3400,100,0.6500,0.0000,"Austin, TX(30.264979, -97.746598)","Houston, TX(29.760803, -95.369506)",19974304233145319393WN
Table 5,"2,007",4,289.32,"35,412","30,852","Knoxville, TN","Washington, DC (Metropolitan Area)","20,355",US,"10,720",0.7000,314.83,150,0.0600,475,0.0500,0.1600,"Knoxville, TN(35.962631, -83.916677)","Washington, DC (Metropolitan Area)(38.892062, -77.019912)",20074354123085220355US
Table 5,"1,997",4,70.17,"34,570","32,457","Reno, NV","San Francisco, CA (Metropolitan Area)","19,977",UA,"18,460",0.2500,80.74,75,0.3200,100,0.6300,0.00270855904658722,"Reno, NV(30.177159, -95.162771)","San Francisco, CA (Metropolitan Area)(37.78008, -122.420168)",19974345703245719977UA
Table 5,"2,011",3,112.02,"30,140","30,325","Albuquerque, NM","Denver, CO","20,436",F9,"18,230",0.3100,95.25,75,0.4400,175,0.0800,0.00877674163466813,"Albuquerque, NM(35.084248, -106.649241)","Denver, CO(39.738453, -104.984853)",20113301403032520436F9
Table 5,"2,006",1,86.15,"30,559","31,884","Seattle, WA","Spokane, WA","19,393",WN,"31,900",0.2500,79.81,75,0.4200,100,0.5700,0.0000,"Seattle, WA(47.603229, -122.33028)","Spokane, WA(47.658999, -117.425022)",20061305593188419393WN
Table 5,"2,014",4,289.07,"31,295","30,529","Detroit, MI","Hartford, CT","20,355",US,"2,960",0.1400,230.41,175,0.1600,300,0.0700,0.0100,"Detroit, MI(42.332916, -83.047853)","Hartford, CT(41.765775, -72.673356)",20144312953052920355US
Table 5,"1,996",1,73.67,"34,570","33,570","Reno, NV","San Diego, CA","19,994",QQ,"19,260",0.5200,80.51,75,0.4800,125,0.0700,0.00103842159916926,"Reno, NV(30.177159, -95.162771)","San Diego, CA(32.71576, -117.163817)",19961345703357019994QQ
Table 5,"2,013",1,285.04,"32,337","31,650","Indianapolis, IN","Minneapolis/St. Paul, MN","19,790",DL,"20,090",0.8300,291.43,175,0.2100,550,0.0600,0.0800,"Indianapolis, IN(39.76845, -86.156212)","Minneapolis/St. Paul, MN(44.977479, -93.264346)",20131323373165019790DL
Table 5,"2,015",1,100.15,"32,945","34,761","Lexington, KY","Sanford, FL","20,368",G4,"6,670",0.4700,100.60,75,0.4500,175,0.0600,0.0300,"Lexington, KY(34.052238, -118.243344)","Sanford, FL(37.78008, -122.420168)",20151329453476120368G4
Table 5,"1,999",4,251.41,"30,397","33,044","Atlanta, GA (Metropolitan Area)","Louisville, KY","19,790",DL,"26,440",0.9600,253.30,100,0.0500,400,0.2100,0.4500,"Atlanta, GA (Metropolitan Area)(33.748547, -84.391502)","Louisville, KY(38.256078, -85.751569)",19994303973304419790DL
Table 5,"1,998",3,233.05,"31,295","33,244","Detroit, MI","Memphis, TN","19,790",DL,"3,670",0.2100,180.15,100,0.1100,250,0.0600,0.0900,"Detroit, MI(42.332916, -83.047853)","Memphis, TN(35.143378, -90.052136)",19983312953324419790DL
Table 5,"2,002",2,77.62,"34,570","32,457","Reno, NV","San Francisco, CA (Metropolitan Area)","19,393",WN,"59,020",0.8700,70.98,75,0.5400,100,0.4500,0.0000,"Reno, NV(30.177159, -95.162771)","San Francisco, CA (Metropolitan Area)(37.78008, -122.420168)",20022345703245719393WN
Table 5,"2,000",3,287.26,"33,342","31,123","Milwaukee, WI","St. Louis, MO","20,211",TW,"12,500",0.8400,289.53,100,0.1200,475,0.2100,0.5600,"Milwaukee, WI(43.041072, -87.909421)","St. Louis, MO(38.630276, -90.200309)",20003333423112320211TW
Table 5,"2,011",1,293.02,"35,096","30,852","Syracuse, NY","Washington, DC (Metropolitan Area)","20,355",US,"10,770",0.7000,287.46,125,0.1600,625,0.0500,0.2700,"Syracuse, NY(43.047945, -76.147448)","Washington, DC (Metropolitan Area)(38.892062, -77.019912)",20111350963085220355US
Table 5,"1,997",1,247.32,"33,105","31,295","Cincinnati, OH","Detroit, MI","19,790",DL,"4,100",0.3100,249.86,100,0.0500,300,0.4400,0.0400,"Cincinnati, OH(39.104427, -84.513808)","Detroit, MI(42.332916, -83.047853)",19971331053129519790DL
Table 5,"2,014",4,270.07,"31,703","33,667","New York City, NY (Metropolitan Area)","Norfolk, VA (Metropolitan Area)","19,805",AA,"6,000",0.1900,240.56,125,0.1300,525,0.0500,0.1900,"New York City, NY (Metropolitan Area)(40.123164, -75.333718)","Norfolk, VA (Metropolitan Area)(36.846164, -76.285913)",20144317033366719805AA
Table 5,"2,001",2,276.22,"30,198","30,852","Pittsburgh, PA","Washington, DC (Metropolitan Area)","20,355",US,"37,990",0.9800,277.64,75,0.0600,425,0.0800,0.6900,"Pittsburgh, PA(40.442169, -79.994945)","Washington, DC (Metropolitan Area)(38.892062, -77.019912)",20012301983085220355US
Table 5,"2,007",2,98.67,"30,194","34,653","Dallas/Fort Worth, TX","Tulsa, OK","19,393",WN,"45,890",0.6700,93.31,75,0.3000,125,0.5100,0.000653737197646546,"Dallas/Fort Worth, TX(40.11086, -77.035636)","Tulsa, OK(61.096484, -160.967455)",20072301943465319393WN
Table 5,"1,999",4,230.09,"30,194","30,693","Dallas/Fort Worth, TX","Nashville, TN","19,393",WN,"4,650",0.1000,196.28,150,0.1900,275,0.2600,0.0021505376344086,"Dallas/Fort Worth, TX(40.11086, -77.035636)","Nashville, TN(36.166687, -86.779932)",19994301943069319393WN
Table 5,"2,002",2,79.33,"32,575","30,466","Los Angeles, CA (Metropolitan Area)","Phoenix, AZ","19,991",HP,"97,500",0.2300,92.73,75,0.3600,175,0.0500,0.0300,"Los Angeles, CA (Metropolitan Area)(34.052238, -118.243344)","Phoenix, AZ(30.406931, -87.217578)",20022325753046619991HP
Table 5,"2,009",2,253.13,"31,453","33,244","Houston, TX","Memphis, TN","19,386",NW,"3,250",0.2000,220.21,125,0.0700,225,0.1300,0.1800,"Houston, TX(29.760803, -95.369506)","Memphis, TN(35.143378, -90.052136)",20092314533324419386NW
Table 5,"2,002",2,241.50,"33,105","31,703","Cincinnati, OH","New York City, NY (Metropolitan Area)","19,704",CO,"9,660",0.1000,275.97,100,0.1300,550,0.0600,0.4200,"Cincinnati, OH(39.104427, -84.513808)","New York City, NY (Metropolitan Area)(40.123164, -75.333718)",20022331053170319704CO
Table 5,"2,009",2,96.38,"33,570","32,457","San Diego, CA","San Francisco, CA (Metropolitan Area)","21,171",VX,"64,360",0.1000,84.25,75,0.6200,175,0.0600,0.00699192044748291,"San Diego, CA(32.71576, -117.163817)","San Francisco, CA (Metropolitan Area)(37.78008, -122.420168)",20092335703245721171VX
Table 5,"2,001",1,253.98,"30,721","30,647","Boston, MA (Metropolitan Area)","Cleveland, OH (Metropolitan Area)","20,355",US,"9,820",0.1800,170.44,100,0.0900,175,0.1600,0.1200,"Boston, MA (Metropolitan Area)(42.358894, -71.056742)","Cleveland, OH (Metropolitan Area)(41.505546, -81.6915)",20011307213064720355US
Table 5,"2,000",2,247.71,"31,703","34,524","New York City, NY (Metropolitan Area)","Richmond, VA","19,790",DL,"10,680",0.1900,207.73,125,0.2800,350,0.1800,0.00280898876404494,"New York City, NY (Metropolitan Area)(40.123164, -75.333718)","Richmond, VA(37.540759, -77.433932)",20002317033452419790DL
Table 5,"2,007",2,224.54,"30,977","34,524","Chicago, IL","Richmond, VA","19,977",UA,"15,930",0.4900,245.12,125,0.1400,325,0.1000,0.1400,"Chicago, IL(41.775002, -87.696388)","Richmond, VA(37.540759, -77.433932)",20072309773452419977UA
Table 5,"2,001",1,215.16,"34,492","31,123","Raleigh/Durham, NC","St. Louis, MO","19,393",WN,"5,340",0.2800,142.62,100,0.1100,200,0.2600,0.00374531835205993,"Raleigh/Durham, NC(42.673348, -72.179683)","St. Louis, MO(38.630276, -90.200309)",20011344923112319393WN
Table 5,"2,004",2,81.85,"33,570","30,436","San Diego, CA","Tucson, AZ","19,393",WN,"38,610",0.9400,79.50,75,0.4100,100,0.5700,0.000259000259000259,"San Diego, CA(32.71576, -117.163817)","Tucson, AZ(35.167852, -103.726151)",20042335703043619393WN
Table 5,"2,001",2,240.25,"30,397","32,600","Atlanta, GA (Metropolitan Area)","Little Rock, AR","19,790",DL,"14,860",0.8700,245.96,75,0.0500,475,0.0500,0.5200,"Atlanta, GA (Metropolitan Area)(33.748547, -84.391502)","Little Rock, AR(34.748745, -92.275105)",20012303973260019790DL
Table 5,"1,998",3,78.68,"30,647","30,693","Cleveland, OH (Metropolitan Area)","Nashville, TN","19,393",WN,"30,520",0.7000,69.98,75,0.5600,100,0.4100,0.0000,"Cleveland, OH (Metropolitan Area)(41.505546, -81.6915)","Nashville, TN(36.166687, -86.779932)",19983306473069319393WN
Table 5,"1,997",1,76.52,"32,211","34,570","Las Vegas, NV","Reno, NV","19,393",WN,"29,560",0.5700,76.49,100,1.0000,100,1.0000,0.0000,"Las Vegas, NV(36.169202, -115.140597)","Reno, NV(30.177159, -95.162771)",19971322113457019393WN
Table 5,"2,014",3,260.83,"31,057","30,693","Charlotte, NC","Nashville, TN","20,355",US,"12,200",0.4200,273.60,150,0.0800,350,0.2300,0.0500,"Charlotte, NC(35.222936, -80.840161)","Nashville, TN(36.166687, -86.779932)",20143310573069320355US
Table 5,"2,007",3,99.28,"30,713","34,570","Boise, ID","Reno, NV","19,393",WN,"16,110",0.9600,97.57,100,0.5400,125,0.4000,0.0000,"Boise, ID(43.597772, -83.884521)","Reno, NV(30.177159, -95.162771)",20073307133457019393WN
Table 5,"2,006",1,99.97,"30,194","33,214","Dallas/Fort Worth, TX","San Antonio, TX","19,393",WN,"129,860",0.7400,96.44,75,0.2700,125,0.5400,0.00130910210996458,"Dallas/Fort Worth, TX(40.11086, -77.035636)","San Antonio, TX(29.425173, -98.494599)",20061301943321419393WN
Table 5,"1,998",1,308.48,"33,105","31,650","Cincinnati, OH","Minneapolis/St. Paul, MN","19,790",DL,"7,200",0.4200,302.19,100,0.0700,500,0.2500,0.5000,"Cincinnati, OH(39.104427, -84.513808)","Minneapolis/St. Paul, MN(44.977479, -93.264346)",19981331053165019790DL
Table 5,"1,998",1,244.42,"30,977","33,244","Chicago, IL","Memphis, TN","19,977",UA,"17,040",0.5300,251.86,100,0.0900,375,0.3200,0.5000,"Chicago, IL(41.775002, -87.696388)","Memphis, TN(35.143378, -90.052136)",19981309773324419977UA
Table 5,"2,011",4,115.33,"32,211","33,570","Las Vegas, NV","San Diego, CA","20,416",NK,"15,570",0.1100,73.80,75,0.6300,100,0.3400,0.000642260757867694,"Las Vegas, NV(36.169202, -115.140597)","San Diego, CA(32.71576, -117.163817)",20114322113357020416NK
Table 5,"2,007",4,92.88,"30,713","30,559","Boise, ID","Seattle, WA","19,930",AS,"45,530",0.5300,99.03,75,0.2500,150,0.1700,0.00351416648363716,"Boise, ID(43.597772, -83.884521)","Seattle, WA(47.603229, -122.33028)",20074307133055919930AS
Table 5,"2,009",1,99.26,"30,792","30,977","Buffalo, NY","Chicago, IL","19,393",WN,"21,690",0.5000,90.23,75,0.5600,175,0.1100,0.00138312586445367,"Buffalo, NY(39.945422, -78.64671)","Chicago, IL(41.775002, -87.696388)",20091307923097719393WN
Table 5,"1,996",4,82.02,"30,466","34,570","Phoenix, AZ","Reno, NV","19,991",HP,"19,080",0.4600,92.37,75,0.5000,125,0.2700,0.0100,"Phoenix, AZ(30.406931, -87.217578)","Reno, NV(30.177159, -95.162771)",19964304663457019991HP
Table 5,"1,997",1,69.86,"34,057","31,884","Portland, OR","Spokane, WA","19,687",QX,"8,410",0.3600,74.00,75,0.8400,100,0.0700,0.00356718192627824,"Portland, OR(45.516018, -122.681425)","Spokane, WA(47.658999, -117.425022)",19971340573188419687QX
Table 5,"2,008",4,234.68,"30,994","30,852","Charleston, SC","Washington, DC (Metropolitan Area)","19,977",UA,"4,010",0.1000,276.28,125,0.2000,525,0.1100,0.2100,"Charleston, SC(32.77647, -79.931027)","Washington, DC (Metropolitan Area)(38.892062, -77.019912)",20084309943085219977UA
Table 5,"2,008",1,221.20,"31,057","32,337","Charlotte, NC","Indianapolis, IN","20,355",US,"11,980",0.6200,267.16,100,0.0700,300,0.0800,0.2900,"Charlotte, NC(35.222936, -80.840161)","Indianapolis, IN(39.76845, -86.156212)",20081310573233720355US
Table 5,"2,015",3,91.64,"30,977","35,356","Chicago, IL","Trenton, NJ","20,436",F9,"9,950",0.4400,92.47,75,0.3300,150,0.1400,0.00100502512562814,"Chicago, IL(41.775002, -87.696388)","Trenton, NJ(40.220572, -74.759709)",20153309773535620436F9
Table 5,"2,009",3,97.69,"30,325","33,316","Denver, CO","Omaha, NE","20,436",F9,"27,970",0.3600,95.02,75,0.4600,150,0.0800,0.0100,"Denver, CO(39.738453, -104.984853)","Omaha, NE(46.07035, -93.666319)",20093303253331620436F9
Table 5,"2,010",1,249.94,"30,647","31,650","Cleveland, OH (Metropolitan Area)","Minneapolis/St. Paul, MN",-1,NW,"2,560",0.1100,242.58,125,0.0500,500,0.0500,0.1100,"Cleveland, OH (Metropolitan Area)(41.505546, -81.6915)","Minneapolis/St. Paul, MN(44.977479, -93.264346)",201013064731650-1NW
Table 5,"2,014",2,93.54,"32,211","34,716","Las Vegas, NV","Stockton, CA","20,368",G4,"19,330",1.0000,93.54,75,0.3600,175,0.0800,0.0000,"Las Vegas, NV(36.169202, -115.140597)","Stockton, CA(37.957541, -121.292451)",20142322113471620368G4
Table 5,"1,998",1,258.27,"30,397","30,198","Atlanta, GA (Metropolitan Area)","Pittsburgh, PA","20,355",US,"16,370",0.4500,244.73,100,0.0600,450,0.1800,0.3800,"Atlanta, GA (Metropolitan Area)(33.748547, -84.391502)","Pittsburgh, PA(40.442169, -79.994945)",19981303973019820355US
Table 5,"2,000",4,238.40,"30,721","30,198","Boston, MA (Metropolitan Area)","Pittsburgh, PA","20,355",US,"79,820",0.9400,240.98,75,0.0800,475,0.1500,0.3900,"Boston, MA (Metropolitan Area)(42.358894, -71.056742)","Pittsburgh, PA(40.442169, -79.994945)",20004307213019820355US
Table 5,"2,004",2,88.31,"32,211","32,575","Las Vegas, NV","Los Angeles, CA (Metropolitan Area)","19,991",HP,"119,630",0.2000,96.38,75,0.3200,125,0.0500,0.0200,"Las Vegas, NV(36.169202, -115.140597)","Los Angeles, CA (Metropolitan Area)(34.052238, -118.243344)",20042322113257519991HP
Table 5,"2,011",2,114.90,"30,325","33,316","Denver, CO","Omaha, NE","20,436",F9,"27,490",0.4000,106.53,75,0.2400,175,0.1500,0.0100,"Denver, CO(39.738453, -104.984853)","Omaha, NE(46.07035, -93.666319)",20112303253331620436F9
